LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
22432_23420,2,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22435_23504,253,210,0,0,0,253,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22439_24339,0,0,110,157,156,0,0,110,157,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22443_23992,0,0,135,214,294,0,0,135,214,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22443_26376,0,0,135,214,294,0,0,135,214,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22444_26118,0,0,72,109,136,0,0,72,109,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22445_21535,0,0,31,69,104,0,0,31,69,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22445_26728,0,0,119,193,262,0,0,119,193,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22446_24340,31,39,220,305,555,31,39,0,0,0,0,0,220,305,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22446_26062,31,39,290,423,727,31,39,70,118,126,0,0,220,305,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22446_26516,0,0,181,287,365,0,0,181,287,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22446_30112,0,0,126,196,262,0,0,126,196,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22447_29040,31,39,303,462,855,31,39,68,115,120,0,0,234,346,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22447_29051,31,39,303,463,850,31,39,68,116,121,0,0,234,346,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22448_26062,31,39,301,456,800,31,39,68,116,121,0,0,232,340,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22448_29051,31,39,301,456,800,31,39,68,116,121,0,0,232,340,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22449_24247,31,39,303,462,568,31,39,68,115,120,0,0,234,346,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22449_29040,31,39,303,462,855,31,39,68,115,120,0,0,234,346,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22450_22161,33,44,0,0,0,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22450_22451,31,39,303,465,599,31,39,57,99,100,0,0,246,366,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22450_22454,0,0,408,619,790,0,0,150,230,241,0,0,258,389,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22451_24106,31,39,317,484,622,31,39,70,118,123,0,0,246,366,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22467_21412,58,82,0,0,0,58,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22477_24777,0,0,55,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22487_24075,4,7,105,113,145,4,7,105,113,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22488_23173,0,0,54,103,115,0,0,54,103,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22492_20234,47,53,125,128,143,47,53,125,128,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22493_22031,47,53,125,123,138,47,53,125,123,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22501_24967,0,0,90,110,137,0,0,90,110,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22505_21136,58,82,0,0,0,58,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22506_22821,0,0,0,98,322,0,0,0,98,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22506_30194,0,0,0,98,322,0,0,0,98,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22510_25714,0,0,65,102,110,0,0,65,102,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22513_22514,17,19,781,913,1106,17,19,87,134,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,779,970
22513_24759,17,19,643,720,915,17,19,19,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,695,888
22514_22515,17,19,73,117,116,17,19,73,117,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22514_23886,0,0,707,795,987,0,0,13,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,779,970
22515_22390,17,19,74,118,117,17,19,74,118,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22517_23886,0,0,700,789,981,0,0,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,779,970
22517_26102,0,0,700,789,981,0,0,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,779,970
22522_26224,0,0,696,785,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,785,968
22522_26613,0,0,696,785,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,785,968
22523_26337,221,245,186,138,215,221,245,186,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22523_26351,221,245,179,132,206,221,245,179,132,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22524_22525,221,245,199,145,226,221,245,199,145,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
